Compound,Category,BL1-1_Mat,BL1-2_Mat_Bottom,BL1-2_Mat_Top ,BL2-23_Mat,LCL4_Mat,BL2-11_Streamers,BL1-1_Salt ,BL1-1_Salt_1,BL1-1_Salt_2,BL2-23_Salt,BL4_Salt,SL_Salt_2,BL2-1_Brine,BL2-2_Brine,BL_Sediment_3,BL1-1_Sediment,BL2-23_Sediment,BL4_Sediment,LCL4_Sediment,SL_Sediment_1,SL_Sediment_3,BL2-4_Brine,LCL5_Sediment
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.634662976,0,0,0,0,0,0,0,0,0.510667485,0
Unknown,Unknown,0,0,0,0,0,0.233843035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0.274556755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C26:0,Long_Saturated_Alkane,0,0,0,0,0,0,0.033774601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C26:0,Long_Saturated_Alkane,0,0,0,0,0,0.298699396,0,0.038606592,0,0,0,0,0,0,0.453460927,0.309359403,0.221730174,0.475429406,0,0,0,0,0
n-C26:0,Long_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0.279654337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301591613,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.031904889,0,0,0,0,0,0.797671428,0,0,0,0,0,0,0,0,0.507236419,0
n-C27:0 ,Long_Saturated_Alkane,0,0,0,0,0,1.227893804,0,0,0,0,0,0,0,0,1.200286134,0.90472074,0.610500667,1.740559569,0,0,0.59885478,0,0.491866827
