RT,Compound,Category,BL1-1_Sediment,BL2-23_Sediment,BL2-2_Sediment_3,LCL4_Sediment,LCL5_Sediment,SL_Sediment_1,SL_Sediment_3,BL4_Sediment,BL1-2_Brine,BL2-23_Brine,BL4_Brine,BL2-4_Brine,LCL4_Brine,LCL5_Brine,BL2-2_Brine,BL2-11_Streamers,BL1-2_Mat_Top,BL1-2_Mat_Bottom,BL1-1_Mat,BL2-23_Mat,LCL4_Mat,LCL5_Mat,BL1-1_Salt,BL1-1_Salt_1,BL2-23_Salt,BL4_Salt,BL1-1_Salt_2,SL_Salt_2,SLSU_Spring,SLSL_Spring,SLSU_Sediment,SLP_Sediment
15.22,OH-C15:0 FAME,Hydroxy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.623640632,3.209343518,1.649563549,0,1.069554733,0.62557297,0,0,0,0,0,0,0,0,0,0
15.24,C20:5 FAME,PUFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.30286892,0,0,0,0,0,0,0.627524079,0.465683302,0,0,0.172277807,0,0,0,0,0
15.31,oxo-C18:0,Oxo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.626041407,0,0.918804618,0,1.270499044,0.48841787,0,0,0,0,0,0,0,0,0,0
15.36,C20:1 FAME,MUFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455217288,0.797894686,0.083086287,0.173065146,0.192087279,0,0,0,0,0
15.54,n-C20:0 FAME,Short_Saturated ,3.08631667,2.235693044,2.573224856,0,0.700020428,0.982819559,1.188611028,2.386786192,0,0,0,0,0,2.414689703,0,0,1.15074953,2.925798089,0.643240771,3.337917484,0.960068184,0.502270527,0,0,0.093724398,0,0,0,0,0,0,1.278885774
15.73,Unknown,Unknown,0,0,0,0,0,0,0,2.77154014,0,0,0,0,0,0,0,0,2.823795469,5.828745846,6.398018783,3.004115528,3.051073943,1.126739732,0,0,0,0,0,0,0,0,0,0.960463774
15.92,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.701497451,1.713428462,2.162820264,1.734653296,0.604525251,0,0,0,0,0,0,0,0,0,0
16.19,n-C21:0 FAME,Short_Saturated ,0,0.544711509,0.577607146,0,0,0,0,2.111701038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683013729
16.61,Dibenzoate,PAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.64,C22:1 FAME,MUFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.054582783,1.850757938,0.564438353,0.727484038,0.777729187,0,0,0,0,0
16.11,n-C21:0 FAME,Short_Saturated ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.528020726,0,0,0,0,0,0,0,0,0,0,0,0
16.47,diOH-C18:0 FAME,Hydroxy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.54,diOH-C18:0 FAME,Hydroxy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.82,n-C22:0 FAME,Short_Saturated ,3.402502162,3.780697449,5.850081463,0,1.698725954,1.694261216,2.163619996,3.648062683,0,0,0,0,0,1.905131661,0,3.295696432,1.194545421,0.856952049,0.415207999,8.714243227,1.265801198,0.716493515,0,0,0.210782179,0.063852343,0,0,0,0,0,1.694877193
16.94,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230419651,0.208608171,0.560204417,0,0,0,0,0,0,0,0,0,0,0,0,0
17.45,n-C23:0 FAME,Short_Saturated ,1.329591789,0.795492264,0.870404904,0,0,0,0,1.172038329,0,0,0,0,0,0,0,0,0,0.252947762,0,1.32971428,0.647051125,0,0,0,0,0,0,0,0,0,0,0.557810666
18.09,n-C24:0 FAME,Long_Saturated,4.06873795,3.838369811,5.018437697,0,1.458554972,2.160593322,1.713995622,0,0,0,0,0,0,3.592721307,0,5.250335407,2.12493254,1.324216647,0,8.688017497,4.034994006,1.915245646,0.154849517,0,0.165780632,0,0,0,0,0,0,0
18.18,n-C25:0 FAME,Long_Saturated,0,0,0,0,0,0,0,3.582508223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147582402,0.142983994,0,0.110361761,0,0,0,0,0,2.022117259
18.77,n-C25:0 FAME,Long_Saturated,1.304242931,0.715095826,0.82654577,0.433892297,0.346341603,0,0,0.888162448,0,0,0,0,0,0,0,0,0,0.555900697,0,1.766400194,0.796399946,0,0.467824931,0.552366011,0.525957924,0.245747636,0.142256309,0,0,0,0,0.477214487
19.5,n-C26:0 FAME,Long_Saturated,3.014225794,2.7491359,3.055925417,0.386989433,1.021495728,1.496877092,1.06333201,1.961911051,0,0,0,0,0,3.836624157,0,2.684958721,1.225794295,0.844463485,0.726295157,6.566907353,1.731095201,1.067577129,0,0,0.194263871,0.072544843,0,0,0,0,0,1.623513204
20.68,C27:1 FAME,MUFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494266687,1.37255877,0,0,0,0,0,0,0,0,0,0,0,0,0
20.93,Unknown,Unknown,0,0,0,0,0,0,0,0.686865521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144883508,0.171688371,0,0,0,0,0,0,0,0
21.12,n-C28:0 FAME,Long_Saturated,0,0,0,0,0,0,0,1.777327711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108844674,0,0,0,0,0,0,0.697352962
21.21,n-C28:0 FAME,Long_Saturated,2.03082157,1.440529508,1.416656116,0,0.697908394,0.721321497,0,0,0,0,0,0,0,2.197612879,0,0,0,0,0,3.613693146,1.309142818,1.043815302,0,0,0,0,0,0,0,0,0,0
22.33,n-C29:0 FAME,Long_Saturated,0,0,0,0,0,0,0,0.280026748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.67,Alkane?,Alkane,0,0,0,0,0,0,0,0.323930793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43096356,0,0,0,0,0,0,0,0
23.18,Alkane?,Alkane,0,0,0,0,0,0,0,0.230100567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.44,n-C30:0 FAME,Long_Saturated,1.105797573,0,0,0,0,0,0,0.756914766,0,0,0,0,0,0,0,0,0,0.458353988,0,1.979841305,0,0,0,0,0,0,0,0,0,0,0,0
23.95,Methyl Phytanate,Isoprenoid,0,0,0,0,0,0,0,0.266592934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.29,PAH,PAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.022872697,0,0.431962947,0.314452881,0,0,0,0.537979315,0
26.55,n-C32:0 FAME,Long_Saturated,0,0,0,0,0,0,0,0.244793742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
